id,Geographic Area ame,Estimate_Households_Mean_income
8600000US01760,ZCTA5 01760,143456
8600000US01770,ZCTA5 01770,221374
8600000US01772,ZCTA5 01772,191769
8600000US01773,ZCTA5 01773,201858
8600000US01775,ZCTA5 01775,164845
8600000US01776,ZCTA5 01776,223959
8600000US01778,ZCTA5 01778,223706
8600000US01801,ZCTA5 01801,104168
8600000US01803,ZCTA5 01803,130151
8600000US01810,ZCTA5 01810,186073
8600000US01821,ZCTA5 01821,116743
8600000US01824,ZCTA5 01824,136170
8600000US01826,ZCTA5 01826,100749
8600000US01827,ZCTA5 01827,157170
8600000US01830,ZCTA5 01830,81355
8600000US01832,ZCTA5 01832,82985
8600000US01833,ZCTA5 01833,136912
8600000US01834,ZCTA5 01834,112510
8600000US01835,ZCTA5 01835,90412
8600000US01840,ZCTA5 01840,44020
8600000US01841,ZCTA5 01841,52289
8600000US01843,ZCTA5 01843,62409
8600000US01844,ZCTA5 01844,94101
8600000US01845,ZCTA5 01845,146547
8600000US01850,ZCTA5 01850,60908
8600000US01851,ZCTA5 01851,72914
8600000US01852,ZCTA5 01852,71574
8600000US01854,ZCTA5 01854,60852
8600000US01860,ZCTA5 01860,108311
8600000US01862,ZCTA5 01862,104971
8600000US01863,ZCTA5 01863,109314
8600000US01864,ZCTA5 01864,152083
8600000US01867,ZCTA5 01867,138257
8600000US01876,ZCTA5 01876,113964
8600000US01879,ZCTA5 01879,126782
8600000US01880,ZCTA5 01880,118976
8600000US01886,ZCTA5 01886,154239
8600000US01887,ZCTA5 01887,136610
8600000US01890,ZCTA5 01890,220498
8600000US01901,ZCTA5 01901,35010
8600000US01902,ZCTA5 01902,61318
8600000US01904,ZCTA5 01904,95352
8600000US01905,ZCTA5 01905,74779
8600000US01906,ZCTA5 01906,98449
8600000US01907,ZCTA5 01907,153226
8600000US01908,ZCTA5 01908,130144
8600000US01913,ZCTA5 01913,97711
8600000US01915,ZCTA5 01915,109747
8600000US01921,ZCTA5 01921,216543
8600000US01922,ZCTA5 01922,130679
8600000US01923,ZCTA5 01923,103974
8600000US01929,ZCTA5 01929,135147
8600000US01930,ZCTA5 01930,91768
8600000US01937,ZCTA5 01937,
8600000US01938,ZCTA5 01938,117818
8600000US01940,ZCTA5 01940,162028
8600000US01944,ZCTA5 01944,180589
8600000US01945,ZCTA5 01945,170933
8600000US01949,ZCTA5 01949,143463
8600000US01950,ZCTA5 01950,137592
8600000US01951,ZCTA5 01951,132780
8600000US01952,ZCTA5 01952,94126
8600000US01960,ZCTA5 01960,88380
8600000US01966,ZCTA5 01966,102211
8600000US01969,ZCTA5 01969,165590
8600000US01970,ZCTA5 01970,83314
8600000US01982,ZCTA5 01982,147832
8600000US01983,ZCTA5 01983,149219
8600000US01984,ZCTA5 01984,172500
8600000US01985,ZCTA5 01985,170053
8600000US02019,ZCTA5 02019,122506
8600000US02021,ZCTA5 02021,135556
8600000US02025,ZCTA5 02025,207255
8600000US02026,ZCTA5 02026,128863
8600000US02030,ZCTA5 02030,339622
8600000US02032,ZCTA5 02032,163322
8600000US02035,ZCTA5 02035,125437
8600000US02038,ZCTA5 02038,141798
8600000US02043,ZCTA5 02043,194652
8600000US02045,ZCTA5 02045,109935
8600000US02047,ZCTA5 02047,43009
8600000US02048,ZCTA5 02048,134417
8600000US02050,ZCTA5 02050,115250
8600000US02052,ZCTA5 02052,203700
8600000US02053,ZCTA5 02053,148732
8600000US02054,ZCTA5 02054,127728
8600000US02056,ZCTA5 02056,168104
8600000US02061,ZCTA5 02061,179550
8600000US02062,ZCTA5 02062,110223
8600000US02066,ZCTA5 02066,155639
8600000US02067,ZCTA5 02067,193368
8600000US02071,ZCTA5 02071,135994
8600000US02072,ZCTA5 02072,95812
8600000US02081,ZCTA5 02081,140409
8600000US02090,ZCTA5 02090,205300
8600000US02093,ZCTA5 02093,140257
8600000US02108,ZCTA5 02108,222479
8600000US02109,ZCTA5 02109,208564
8600000US02110,ZCTA5 02110,272139
8600000US02111,ZCTA5 02111,114752
8600000US02113,ZCTA5 02113,121887
8600000US02114,ZCTA5 02114,143442
8600000US02115,ZCTA5 02115,72238
8600000US02116,ZCTA5 02116,198886
8600000US02118,ZCTA5 02118,137005
8600000US02119,ZCTA5 02119,51239
8600000US02120,ZCTA5 02120,52171
8600000US02121,ZCTA5 02121,50336
8600000US02122,ZCTA5 02122,78812
8600000US02124,ZCTA5 02124,75366
