ZTCA,Median_Household_Income,Mean_Household_Income
86429,46853,65300
86431,26141,42891
86432,34511,36846
86433,-,N
86434,37688,48040
86435,-,-
86436,28542,43548
86437,-,43440
86438,34213,57541
86440,47437,54201
86441,26591,37764
86442,39600,51981
86443,-,-
86444,46389,44455
86445,51150,69027
86502,18542,28883
86503,24982,35712
86504,33611,49637
86505,23767,35067
86506,21597,34990
86507,22885,31131
86508,21250,31584
86510,23550,38136
86511,29617,44209
86512,29886,37704
86514,27600,39751
86515,30196,39629
86520,21346,32143
86535,17019,31917
86538,25052,36476
86540,10588,23251
86544,26964,41179
86545,22560,31131
86547,24643,33955
86556,27153,36351
71601,31867,39502
71602,51128,62580
71603,43137,57306
71630,27297,46018
71631,43050,58721
71635,46463,60942
71638,33699,49390
71639,36461,48296
71640,26435,36778
71642,-,61085
71643,31364,43624
71644,32723,44626
71646,45378,63943
71647,47237,64651
71651,-,46304
71652,46042,48585
71653,41653,62543
71654,29855,45841
71655,48396,64201
71658,34792,40156
71659,7171,8182
71660,56579,67354
71661,19567,29515
71662,-,N
71663,41328,57329
71665,45125,58631
71666,-,N
71667,48558,62200
71670,35500,59506
71671,42929,54986
71674,34226,42866
71675,43512,56795
71676,37917,49961
71677,30078,31120
71701,35280,51250
71711,-,N
71720,38125,48653
71722,50000,54546
71724,49643,50394
71725,27143,40651
71726,30675,42132
71730,45324,62704
71740,41250,57563
71742,39529,44588
71743,42727,53393
71744,47993,58099
71745,36875,47760
71747,44800,52640
71749,46625,59707
71751,45956,52659
71752,26635,36720
71753,34547,54613
71758,33929,35018
71759,52750,67984
71762,42577,54838
71763,40658,52982
71764,42500,51165
71765,36758,55389
71766,36316,49903
71770,44291,60449
71772,-,N
71801,47567,58271
71820,-,N
71822,43836,57762
71823,-,35253
71825,51875,55313
71826,32120,44884
71827,38750,81061
71832,48720,64551
71833,37823,72049
71834,44907,49113
71835,48917,53513
71836,47705,63053
71837,46617,51854
71838,33021,48669
71839,38958,35540
71841,44107,50633
71842,41023,69624
71845,31378,75540
71846,44130,57187
71847,-,49826
71851,44196,56844
71852,37518,56490
71853,-,43665
71854,42375,61444
71855,38516,44580
71857,37344,44495
71858,36024,42645
71859,32417,51260
71860,31620,50248
71861,32200,43943
71862,32177,42284
71865,-,45405
71866,60694,64588
71901,40034,57928
71909,55115,65794
71913,45511,67656
71921,48500,62945
71922,30893,35111
71923,40856,55562
71929,48845,55408
71933,42938,49464
71935,35288,45724
71937,36563,54199
71940,42188,44791
71941,50556,68079
71943,30298,50593
71944,34125,45086
71945,31250,38838
71949,41250,44844
71950,43026,50579
71952,-,39250
71953,38874,57828
71956,31346,42114
71957,41313,52249
71958,36250,49114
71959,37446,62933
71960,29615,37255
71961,39191,48126
71962,44375,50482
71964,55426,71317
71965,25694,38098
71968,64837,74071
71969,34511,44945
71970,42617,79401
71971,48113,51489
71972,59167,55637
71973,36786,53287
71998,-,-
71999,-,-
72001,27067,50016
72002,62777,82154
72003,39286,49447
72004,30195,39954
72005,26806,29514
72006,28261,54504
72007,64812,74925
72010,35269,52018
72011,54808,79534
72012,51970,69546
72013,43140,64143
72014,-,37005
72015,57159,67735
72016,53000,68623
72017,26190,47634
72019,75714,89515
72020,36578,60351
72021,37361,47109
72022,65719,80100
72023,62730,75128
72024,51250,63862
72025,56250,68207
72026,51513,60649
72027,54844,65652
72029,26406,43696
72030,29844,42062
72031,36786,49377
72032,46004,61321
72034,52400,76147
72035,-,-
72036,19188,33174
72037,83194,65762
72038,-,96336
72039,52308,85790
72040,43511,63260
72041,31190,44708
72042,39190,59386
72044,50733,58051
72045,58750,59871
72046,42283,59280
72047,47768,52297
72048,-,86624
72051,41338,46032
72055,45990,59733
72057,54474,69212
72058,57591,71373
72059,-,N
72060,41875,57201
72061,68403,79900
72063,41413,59521
72064,46500,55982
72065,62944,75553
72067,38418,55209
72068,-,42509
72069,51307,62877
72070,48462,57116
72072,52629,67071
72073,57794,67933
72074,31875,47589
72076,48033,59348
72079,62625,65747
72080,-,55525
72081,44155,56646
72082,26128,32914
72083,30750,62831
72084,51613,65032
72085,36875,85824
72086,55411,73168
72087,63225,81263
72088,39534,55651
72099,-,-
72101,45667,56258
72102,53333,58267
72103,48688,63240
72104,42460,56489
72106,59085,73051
72107,53750,52280
72108,-,120147
72110,40333,59461
72111,64896,77852
72112,31093,48188
72113,61898,89520
72114,20008,31919
72116,63216,91124
72117,35809,47117
72118,44928,60045
72119,-,-
72120,65516,81949
72121,42540,50024
72122,67188,79334
72123,24896,31772
72125,36920,48964
72126,55827,63564
72127,54333,75549
72128,49833,55859
72129,33929,52211
72130,37337,41356
72131,56250,75941
72132,54668,69478
72134,55625,52539
72135,70893,135925
72136,53125,66630
72137,43068,74551
72139,20682,33764
72140,56406,71706
72141,32500,32066
72142,54522,81488
72143,44606,63099
72149,-,-
72150,56136,75701
